DATE,precip,humidity,wind_speed,sea_pressure,min_temp,rain
2020-05-12T23:59:00,0.02,63.0,6.7,30.02,60.0,1
2022-09-12T23:59:00,0.005,80.0,5.8,29.94,73.0,1
2020-03-26T23:59:00,0.04,52.0,10.3,30.05,54.0,1
2020-03-07T23:59:00,0.01,68.0,6.1,30.02,60.0,1
2024-01-26T23:59:00,0.0,80.0,3.4,30.2,48.0,0
2021-12-17T23:59:00,0.01,79.0,3.9,30.11,48.0,1
2017-01-23T23:59:00,0.22,70.0,10.6,29.94,51.0,1
2017-12-16T23:59:00,0.005,63.0,5.8,29.77,53.0,1
2018-01-05T23:59:00,0.0,73.0,4.8,30.17,56.0,0
2020-12-24T23:59:00,0.005,32.0,2.7,30.19,53.0,1
2016-05-18T23:59:00,0.0,71.0,6.3,29.98,62.0,0
2023-05-27T23:59:00,0.005,74.0,8.3,29.98,60.0,1
2019-07-23T23:59:00,0.005,74.0,6.9,29.96,69.0,1
2023-10-22T23:59:00,0.005,73.0,6.9,29.84,66.0,1
2024-05-04T23:59:00,0.0,70.0,7.2,29.93,60.0,0
2022-07-27T23:59:00,0.0,72.0,7.4,29.96,67.0,0
2022-12-01T23:59:00,0.0,56.0,4.8,30.07,56.0,0
2018-02-14T23:59:00,0.005,60.0,4.4,30.1,56.0,1
2017-03-07T23:59:00,0.0,53.0,4.7,30.16,48.0,0
2018-02-23T23:59:00,0.005,49.0,10.1,30.24,50.0,1
2017-05-14T23:59:00,0.0,68.0,10.9,29.92,60.0,0
2021-12-16T23:59:00,0.005,75.0,3.1,30.14,38.0,1
2024-05-08T23:59:00,0.0,69.0,8.7,29.88,59.0,0
2018-02-19T23:59:00,0.005,44.0,15.3,29.97,50.0,1
2021-07-18T23:59:00,0.005,67.0,5.3,29.99,72.0,1
2017-10-17T23:59:00,0.0,46.0,3.4,29.97,67.0,0
2019-03-12T23:59:00,0.26,72.0,8.4,29.83,52.0,1
2024-01-28T23:59:00,0.0,47.0,2.7,30.11,47.0,0
2019-12-04T23:59:00,1.19,90.0,6.7,29.98,61.0,1
2016-06-20T23:59:00,0.0,58.0,6.9,29.88,71.0,0
2024-04-13T23:59:00,0.04,63.0,8.4,30.07,54.0,1
2024-03-26T23:59:00,0.005,68.0,6.1,30.08,54.0,1
